2017-12-22 09:03:44,196 [1] INFO  WebCrawler.Services.Program - 文章采集系统开始...
 WebCrawler.Services.Programname2017-12-22 09:03:46,302 [6] INFO  WebCrawlerConsole.DoMain.Crawler - 北极星电力网-要闻采集开始***************************
 WebCrawlerConsole.DoMain.Crawlername2017-12-22 09:03:46,302 [4] INFO  WebCrawlerConsole.DoMain.Crawler - 兰格钢铁-钢厂调价采集开始***************************
 WebCrawlerConsole.DoMain.Crawlername2017-12-22 09:04:06,994 [6] ERROR WebCrawlerConsole.DoMain.Crawler - 北极星电力网-要闻采集异常,【新闻列表加载失败】
 WebCrawlerConsole.DoMain.Crawlername2017-12-22 09:04:07,151 [6] ERROR WebCrawlerConsole.DoMain.Crawler - 北极星电力网-要闻采集异常,【新闻列表加载失败】
 WebCrawlerConsole.DoMain.Crawlername2017-12-22 09:04:07,291 [6] ERROR WebCrawlerConsole.DoMain.Crawler - 北极星电力网-要闻采集异常,【新闻列表加载失败】
 WebCrawlerConsole.DoMain.Crawlername2017-12-22 09:04:07,371 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 兰格钢铁-钢厂调价,存在相同【标题】的文章:包钢2018年1月份涂镀产品价格政策
 WebCrawlerConsole.DoMain.Crawlername2017-12-22 09:04:07,405 [6] ERROR WebCrawlerConsole.DoMain.Crawler - 北极星电力网-要闻采集异常,【新闻列表加载失败】
 WebCrawlerConsole.DoMain.Crawlername2017-12-22 09:04:07,487 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 兰格钢铁-钢厂调价,存在相同【标题】的文章:包钢2018年1月份冷轧产品价格政策
 WebCrawlerConsole.DoMain.Crawlername2017-12-22 09:04:07,517 [6] ERROR WebCrawlerConsole.DoMain.Crawler - 北极星电力网-要闻采集异常,【新闻列表加载失败】
 WebCrawlerConsole.DoMain.Crawlername2017-12-22 09:04:07,519 [6] INFO  WebCrawlerConsole.DoMain.Crawler - 北极星电力网-要闻,采集结束,共采集0条...共耗时21211毫秒********
 WebCrawlerConsole.DoMain.Crawlername2017-12-22 09:04:07,520 [6] INFO  WebCrawlerConsole.DoMain.Crawler - *******************************************************************************************
 WebCrawlerConsole.DoMain.Crawlername2017-12-22 09:04:07,626 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 兰格钢铁-钢厂调价,存在相同【标题】的文章:包钢出台薄板产品2018年第一期订货价格政策
 WebCrawlerConsole.DoMain.Crawlername2017-12-22 09:04:07,725 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 兰格钢铁-钢厂调价,存在相同【标题】的文章:包钢出台宽厚板产品2018年第一期订货价格政策
 WebCrawlerConsole.DoMain.Crawlername2017-12-22 09:04:07,778 [4] ERROR WebCrawlerConsole.DoMain.Crawler - 兰格钢铁-钢厂调价,文章详情采集失败,地址:http://tegang.lgmi.com/html/201712/21/6835.htm,当前页面只有会员才能访问！
 WebCrawlerConsole.DoMain.Crawlername2017-12-22 09:04:07,869 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 兰格钢铁-钢厂调价,存在相同【标题】的文章:12月21日湘钢出台12月下旬板材价格调整信息
