2017-11-03 09:24:26,687 [1] INFO  WebCrawler.Services.Program - 文章采集系统开始...
 WebCrawler.Services.Programname2017-11-03 09:24:28,492 [9] INFO  WebCrawlerConsole.DoMain.Crawler - 海关总署-新闻搜索采集开始***************************
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:28,492 [5] INFO  WebCrawlerConsole.DoMain.Crawler - 长江锡业网-锡评采集开始***************************
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:28,492 [4] INFO  WebCrawlerConsole.DoMain.Crawler - 环保部-环境要闻采集开始***************************
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:28,492 [6] INFO  WebCrawlerConsole.DoMain.Crawler - 亚洲金属网-锡采集开始***************************
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:28,507 [7] INFO  WebCrawlerConsole.DoMain.Crawler - 有色金属网-锡采集开始***************************
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:29,289 [10] INFO  WebCrawlerConsole.DoMain.Crawler - 统计局-最新发布采集开始***************************
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:35,713 [6] ERROR WebCrawlerConsole.DoMain.Crawler - 亚洲金属网-锡,文章详情div.contentDiv为空
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:35,775 [6] ERROR WebCrawlerConsole.DoMain.Crawler - 亚洲金属网-锡,文章详情div.contentDiv为空
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:35,822 [6] ERROR WebCrawlerConsole.DoMain.Crawler - 亚洲金属网-锡,文章详情div.contentDiv为空
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:35,853 [10] WARN  WebCrawlerConsole.DoMain.Crawler - 统计局-最新发布,新闻内容未更新,结束采集
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:35,853 [10] INFO  WebCrawlerConsole.DoMain.Crawler - 统计局-最新发布,采集结束,共采集0条...共耗时6564毫秒********
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:35,853 [10] INFO  WebCrawlerConsole.DoMain.Crawler - *******************************************************************************************
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:35,869 [10] INFO  WebCrawlerConsole.DoMain.Crawler - 统计局-数据解读采集开始***************************
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:35,853 [6] ERROR WebCrawlerConsole.DoMain.Crawler - 亚洲金属网-锡,文章详情div.contentDiv为空
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:35,900 [6] ERROR WebCrawlerConsole.DoMain.Crawler - 亚洲金属网-锡,文章详情div.contentDiv为空
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:35,900 [6] ERROR WebCrawlerConsole.DoMain.Crawler - 亚洲金属网-锡采集异常,【li.newsTitleB元素加载失败】
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:35,947 [6] ERROR WebCrawlerConsole.DoMain.Crawler - 亚洲金属网-锡,文章详情div.contentDiv为空
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:35,978 [6] ERROR WebCrawlerConsole.DoMain.Crawler - 亚洲金属网-锡,文章详情div.contentDiv为空
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:36,010 [6] ERROR WebCrawlerConsole.DoMain.Crawler - 亚洲金属网-锡,文章详情div.contentDiv为空
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:36,010 [6] WARN  WebCrawlerConsole.DoMain.Crawler - 亚洲金属网-锡,新闻内容已到上一次最后采集新闻,结束采集
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:36,025 [6] INFO  WebCrawlerConsole.DoMain.Crawler - 亚洲金属网-锡,采集结束,共采集0条...共耗时7509毫秒********
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:36,025 [6] INFO  WebCrawlerConsole.DoMain.Crawler - *******************************************************************************************
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:36,166 [6] INFO  WebCrawlerConsole.DoMain.Crawler - 商务部-日常新闻采集开始***************************
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:36,338 [10] WARN  WebCrawlerConsole.DoMain.Crawler - 统计局-数据解读,新闻内容已到上一次最后采集新闻,结束采集
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:36,385 [6] WARN  WebCrawlerConsole.DoMain.Crawler - 商务部-日常新闻,新闻内容未更新,结束采集
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:36,385 [6] INFO  WebCrawlerConsole.DoMain.Crawler - 商务部-日常新闻,采集结束,共采集0条...共耗时224毫秒********
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:36,385 [6] INFO  WebCrawlerConsole.DoMain.Crawler - *******************************************************************************************
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:36,385 [6] INFO  WebCrawlerConsole.DoMain.Crawler - 商务部-专题新闻发布采集开始***************************
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:36,478 [6] WARN  WebCrawlerConsole.DoMain.Crawler - 商务部-专题新闻发布,新闻内容未更新,结束采集
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:36,478 [6] INFO  WebCrawlerConsole.DoMain.Crawler - 商务部-专题新闻发布,采集结束,共采集0条...共耗时87毫秒********
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:36,478 [6] INFO  WebCrawlerConsole.DoMain.Crawler - *******************************************************************************************
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:36,478 [6] INFO  WebCrawlerConsole.DoMain.Crawler - 商务部-新闻发言人谈话采集开始***************************
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:36,478 [10] INFO  WebCrawlerConsole.DoMain.Crawler - 统计局-数据解读,采集结束,共采集1条...共耗时617毫秒********
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:36,478 [10] INFO  WebCrawlerConsole.DoMain.Crawler - *******************************************************************************************
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:36,510 [7] WARN  WebCrawlerConsole.DoMain.Crawler - 有色金属网-锡,新闻内容已到上一次最后采集新闻,结束采集
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:36,619 [7] INFO  WebCrawlerConsole.DoMain.Crawler - 有色金属网-锡,采集结束,共采集1条...共耗时8109毫秒********
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:36,666 [7] INFO  WebCrawlerConsole.DoMain.Crawler - *******************************************************************************************
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:36,619 [6] WARN  WebCrawlerConsole.DoMain.Crawler - 商务部-新闻发言人谈话,新闻内容未更新,结束采集
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:36,666 [6] INFO  WebCrawlerConsole.DoMain.Crawler - 商务部-新闻发言人谈话,采集结束,共采集0条...共耗时188毫秒********
 WebCrawlerConsole.DoMain.Crawlername2017-11-03 09:24:36,682 [6] INFO  WebCrawlerConsole.DoMain.Crawler - *******************************************************************************************
