2017-12-07 08:36:04,366 [1] INFO  WebCrawler.Services.Program - 文章采集系统开始...
 WebCrawler.Services.Programname2017-12-07 08:36:05,242 [4] INFO  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息采集开始***************************
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:10,993 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-30 09:07东兴铝业生产出纯度达99.90%的高纯铝
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:11,101 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-30 09:03产学研推动“重庆造”镁合金产品成果转化
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:11,209 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-30 09:00神雾两项节能低碳技术亮相中乌科技创新展
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:11,339 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-29 14:42内科大有关轻稀土重点实验室通过验收
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:11,451 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-29 14:11南方稀土集团11月27日中重稀土挂牌价
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:11,562 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-29 09:44黑斯廷斯科技金属公司签署原住民地权协议
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:11,668 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-28 13:24重庆旗能新型高位分区集气在铝电解中吸氟效果明显
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:11,782 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-28 13:21中国恩菲主编《非煤矿山采矿术语标准》通过审查
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:11,890 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-28 13:19高强度轻量级新型3D打印铝合金，空客飞机联手丰田汽车
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:12,095 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-27 16:22南方稀土集团开展三季度生产经营情况检查
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:12,204 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-27 14:55永昌铅锌获“云南省安全文化建设示范企业”称号
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:12,310 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-27 14:47英国莱斯特大学获得欧盟资金，用于研究其新的铝电池项目
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:12,415 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-27 13:50共促精细氧化铝产业快速发展
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:12,530 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-27 13:46新疆众和在军工、石墨烯板块发力布局
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:12,635 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-24 08:58北京科技大学、中色十二冶金建设有限公司联手 赤泥综合利用填补应用空白
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:12,852 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-24 08:47国家标准《钴冶炼工厂工艺设计标准》顺利通过审查
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:12,958 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-23 13:35攀钢技术攻关完善钛材轧制工艺
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:13,075 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-23 13:31东轻“领衔”大飞机与宽体客机用铝合金材料国产化
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:13,307 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-22 14:16韩国开发出蜘蛛网状锂离子电池新材料
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:13,486 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-22 14:13石墨烯基锂电池有了新突破
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:13,593 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-22 14:11铜陵有色位居“2017安徽企业百强”榜榜首
